id,character,source,translatedstr
Idolchr_0101_B_20_01_001(0),Ｐ,"（今日は春香と繁華街に、
事務所の備品を買い出しに行くことになった）",
Idolchr_0101_B_20_01_002(0),春香,"そういえば、プロデューサーさんが海外にいた時は、
こうして街でお買い物に行ったりしてたんですか？",
Idolchr_0101_B_20_01_003(0),Ｐ,"もちろん。食材とか日用品とか、いろいろな。
そこは日本と変わらないぞ",
Idolchr_0101_B_20_01_004(0),春香,"あ、そうですよね。英語がわからないときは、
どうしていたんですか？　道に迷った時とか……",
Idolchr_0101_B_20_01_005(0),Ｐ,ああ、英語がわからない時は……,
Idolchr_0101_B_20_01_006(0),選択肢,ジェスチャー,
Idolchr_0101_B_20_01_007(0),選択肢,辞書,
Idolchr_0101_B_20_01_008(0),選択肢,日本語,
Idolchr_0101_B_20_01_009(0),Ｐ,"とにかくジェスチャーを使っていたよ。
最初はちょっと恥ずかしかったけど、案外通じたぞ！",
Idolchr_0101_B_20_01_010(0),春香,"そうだったんですね！　プロデューサーさんの
ジェスチャー……ちょっと見てみたいかも♪",
Idolchr_0101_B_20_01_011(0),Ｐ,"迷わず辞書だな。電子辞書とか便利だぞ？
わからない単語があったら、すぐ調べられるからな！",
Idolchr_0101_B_20_01_012(0),春香,"なるほど～！　確かに辞書があったら心強いですね！
電子辞書だと持ち運びも便利そうです♪",
Idolchr_0101_B_20_01_013(0),Ｐ,開き直って日本語で聞いていたな,
Idolchr_0101_B_20_01_014(0),春香,ええっ！？　そ、それで通じたんですか……？,
Idolchr_0101_B_20_01_015(0),春香,"でもやっぱり、英語はちゃんと勉強しておいた方が
いいですよね。今度英語のテストもあるし……",
Idolchr_0101_B_20_01_016(0),Ｐ,"英語のテストか、それじゃあ勉強を頑張らないとな！
俺の対応はテストじゃ使えないし……",
Idolchr_0101_B_20_01_017(0),春香,"あはは、そうですね。
いい点がとれるように、勉強を頑張りますっ♪",
Idolchr_0101_B_20_02_001(0),Ｐ,"（春香が熱心に本を読んでいる……。
どうやらお菓子のレシピ本のようだな）",
Idolchr_0101_B_20_02_002(0),Ｐ,"ずいぶんと夢中になっているな。
何か気になるお菓子でもあったのか？",
Idolchr_0101_B_20_02_003(0),春香,"はい！　実は、ルミナスのメンバーへの差し入れ、
レパートリーを増やしたいんです♪",
Idolchr_0101_B_20_02_004(0),Ｐ,"なるほど。それはみんな喜ぶだろうな！
何か良さそうなものはあったか？",
Idolchr_0101_B_20_02_005(0),春香,"それが、いろいろあって迷っちゃって……。
プロデューサーさんはどれがいいと思いますか？",
Idolchr_0101_B_20_02_006(0),Ｐ,"新しいお菓子のレパートリーか。
そうだな……",
Idolchr_0101_B_20_02_007(0),選択肢,マカロン,
Idolchr_0101_B_20_02_008(0),選択肢,キャンディ,
Idolchr_0101_B_20_02_009(0),選択肢,パフェ,
Idolchr_0101_B_20_02_010(0),Ｐ,"マカロンはどうだ？　みんなのイメージカラーで
マカロンを作ったら、喜ぶんじゃないか？",
Idolchr_0101_B_20_02_011(0),春香,"マカロンかぁ……！　確かに、カラフルなところが
ルミナスにもぴったりですねっ♪",
Idolchr_0101_B_20_02_012(0),Ｐ,キャンディはどうだ？,
Idolchr_0101_B_20_02_013(0),春香,"いいですね！　飴が好きな子もいますし、
置いてるだけで、気軽に食べられますよね！",
